,BLU,Huawei,LG,Vodafone,Icemobile,Xiaomi,Motorola,Vertu,Yezz,iNQ,Mitac,O2,Casio,Neonode,Orange,Acer,Pantech,Cat,alcatel,Prestigio,verykool,Karbonn,Lenovo,OnePlus,Nvidia,Meizu,Jolla,Amazon,Coolpad,Dell,ZTE,HP,Nokia,Celkon,Kyocera,Microsoft,BenQ,VK Mobile,T-Mobile,Garmin-Asus,Asus,Wiko,Sonim,Sagem,Qtek,Intex,Panasonic,Palm,Google,QMobile,vivo,LeEco,Eten,NIU,Sharp,BlackBerry,YU,Gionee,Gigabyte,Archos,i-mate,Micromax,HTC,Samsung,Oppo,Yota,Apple,Allview,XOLO,Lava,Spice,Philips,BQ,NEC,Toshiba,Sony,Sony Ericsson,2G,3G,4G,CPU,Chipset,EDGE,GPRS,GPS,GPU,NFC,OS,Price,RAM,SIM,Thickness,audio_jack,battery,display_size,internal_memory,loud_speaker,memory_card,primary_camera,radio,screen_to_body_ratio,secondary_camera,weight_g
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Quad-core 1.3 GHz Cortex-A53,Mediatek MT8735,Yes,Yes,Yes,Mali-T720MP2,,Android 6.0,188.70000000000002,2.0,Dual,0.37,Yes,3400.0,7.0,32.0,Yes,Yes,13,Yes,69.8,2,260
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Yes,Yes,Yes,Mali-T720MP3,,Android 6.0,277.5,3.0,Dual,0.33,Yes,4080.0,5.5,32.0,Yes,Yes,13,Yes,71.7,5,169
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Quad-core 1.25 GHz Cortex-A53,Mediatek MT6737,Yes,Yes,Yes,Mali-T720MP2,,Android 6.0,133.20000000000002,1.0,Dual,,Yes,2000.0,5.0,8.0,Yes,Yes,8,Yes,,2,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Quad-core 1.3 GHz Cortex-A53,Mediatek MT8163A,No,No,,Mali-T720 MP2,,Android 6.0,255.3,2.0,No,0.35,Yes,,10.1,64.0,Yes,Yes,5,No,68.4,2,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Yes,Yes,Yes,Mali-T720MP4,,Android 5.1,255.3,3.0,Triple,0.33,Yes,4020.0,5.5,32.0,Yes,Yes,13,Yes,69.0,13,166
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Yes,Yes,Yes,Mali-T720MP2,,Android 6.0,222.00000000000003,2.0,Dual,0.39,Yes,5000.0,5.5,16.0,Yes,Yes,13,Yes,70.3,5,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Quad-core 1.3 GHz - Z525,Mediatek MT6580 - Z525,Yes,Yes,Yes,Mali-400MP2 - Z525,,Android 6.0,122.10000000000001,1.0,Dual,0.33,Yes,2000.0,5.0,8.0,Yes,Yes,8,Yes,66.4,5,125
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Quad-core 1.6 GHz,Intel Atom x7-Z8700,No,No,,,,Android 5.0,388.50000000000006,2.0,No,0.34,Yes,4420.0,8.0,64.0,Yes,Yes,5,No,67.1,2,353.8
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Qualcomm MSM8992 Snapdragon 808,Yes,Yes,Yes,Adreno 418,,Windows,244.20000000000002,3.0,Dual,0.33,Yes,2870.0,5.5,32.0,Yes,Yes,21,Yes,70.2,8,150
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Quad-core 1.1 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210,Yes,Yes,Yes,Adreno 304,,Android 5.1,122.10000000000001,1.0,Dual,0.38,Yes,2000.0,4.5,8.0,Yes,Yes,5,Yes,61.7,5,142
